threshold,precision,recall,f1,total_tp,total_fp,total_notes_found,total_linked,avg_top1_recall,avg_top3_recall
0.7,0.7142857142857143,0.8697674418604651,0.7843959731543624,190,76,187,215,0.9195238095238096,0.9495238095238093
0.71,0.7421875,0.8697674418604651,0.8009287437163274,190,66,187,215,0.9195238095238096,0.9495238095238093
0.72,0.7714285714285715,0.8651162790697674,0.815590742996346,189,56,186,215,0.9195238095238096,0.9495238095238093
0.73,0.7966101694915254,0.8604651162790697,0.8273073263558517,188,48,185,215,0.9195238095238096,0.9495238095238093
0.74,0.8165938864628821,0.8558139534883721,0.8357440400286613,187,42,184,215,0.9195238095238096,0.9495238095238093
0.75,0.8348214285714286,0.8558139534883721,0.8451873595264122,187,37,184,215,0.9195238095238096,0.9495238095238093
0.76,0.8538812785388128,0.8558139534883721,0.854846523645669,187,32,184,215,0.9195238095238096,0.9495238095238093
0.77,0.8617511520737328,0.8558139534883721,0.8587722910661026,187,30,184,215,0.9195238095238096,0.9495238095238093
0.78,0.9029126213592233,0.8511627906976744,0.876274328081557,186,20,183,215,0.9195238095238096,0.9495238095238093
0.79,0.925,0.8465116279069768,0.8840170659665244,185,15,182,215,0.9195238095238096,0.9495238095238093
0.8,0.9438775510204082,0.8465116279069768,0.8925470860339045,185,11,182,215,0.9195238095238096,0.9495238095238093
0.81,0.9787234042553191,0.8418604651162791,0.9051475784095233,184,4,181,215,0.9195238095238096,0.9495238095238093
0.82,0.9836065573770492,0.8232558139534883,0.8963159893657424,180,3,177,215,0.9195238095238096,0.9495238095238093
0.83,1.0,0.813953488372093,0.8974358974358974,178,0,175,215,0.9195238095238096,0.9495238095238093
0.84,1.0,0.8093023255813954,0.8946015424164524,177,0,174,215,0.9195238095238096,0.9495238095238093
0.85,1.0,0.8,0.888888888888889,175,0,172,215,0.9195238095238096,0.9495238095238093
0.86,1.0,0.7953488372093023,0.8860103626943004,173,0,171,215,0.9195238095238096,0.9495238095238093
